inhibition of NSP4 expression by small interfering RNAs	9
alteration of the production and distribution of other viral proteins and mRNA synthesis	8
localization	2
intracellular NSP4	4
functions	1
fused the C terminus of full length NSP4 with the enhanced green fluorescent protein EGFP	8
localization of NSP4	8
HEK 293-based cell line	9
fusion	1
avoid possible cytotoxicity	2
NSP4-EGFP colocalized	9
ERGIC-53	0
NSP4-EGFP	9
localized in the endoplasmic reticulum	8
Endo H sensitive glycosylation	9
ER as	5
Endo H sensitivity	0
novel vesicular structures	9
intracellular calcium levels	9
vesicular NSP4-EGFP	9
colocalized with the autophagosomal marker LC3	8
colocalized with LC3	9
measles	1
public alarm	7
severe acute respiratory syndrome	6
ventilation systems	2
facilitate disease transmission	7
control measures	2
protection	1
non thermal plasma NTP exposure	0
viral aerosols	4
NTP treatment	2
inactivation of aerosolized MS2 phage	8
30 kV	0
reduction of infective virus	8
air flow rate of 170 standard liters per minute	5
inactivated	1
MS2	0
physically removed	1
Activated carbon based ozone filters	5
reduced residual ozone	6
FBoV HRB2015-LDF	0
cat with severe enteritis	6
Phylogenetic	1
analysis	2
homologous	1
closely related to other FBoVs	0
clustered into the FBoV branch	8
genome	1
VP1	0
shared 70.7–97.6 72.4–98.6 and 67.2–98.0 nucleotide identities with other FBoVs	8
NPA	0
shared 70.7–97.6 72.4–98.6 and 67.2–98.0 nucleotide identities with other FBoVs	8
NS1	0
shared 70.7–97.6 72.4–98.6 and 67.2–98.0 nucleotide identities with other FBoVs	8
FBoVs	0
divided into two distinct lineages	5
compounds	2
antiviral drugs	6
treatment of HIV infections	8
therapy	2
herpesvirus	4
hepadnavirus	4
hepacivirus	4
myxovirus	4
preclinical evaluation	2
targeting HIV infections	7
clinical development	2
antiviral therapies	2
hemorrhagic fever viruses	4
HCV	1
HPV	1
severe acute respiratory syndrome SARS	6
triggered the first global alert for coronavirus infections	8
public health measures	7
Virus transmission in humans was quickly halted	7
human infections of SARS coronavirus SARS CoV have not been observed since	4
coronaviruses	4
emergence of Middle East respiratory syndrome	8
threat to human health	7
widens our knowledge	7
pathophysiology	1
epidemiology	7
immunology	1
work on SARS CoV	0
work on SARS CoV	0
shed light on MERS coronavirus MERS CoV	4
T cell immunity	3
recovery from SARS CoV	0
cross reactivity of the SARS CoV specific immunity against MERS CoV	8
development of broad spectrum vaccines	8
sharing of information	8
infection as	6
Middle East respiratory syndrome	6
spread easily	7
MERS	0
risk for infection	6
MERS	0
mortality	1
shortcomings in reprocessing procedures	5
outbreaks	1
insufficient training	7
awareness	1
published several articles	7
disinfection of the endoscope	8
inauguration of Clinical Endoscopy	8
Science Citation Index journals	7
high level disinfection	5
high level disinfection	5
gastrointestinal endoscope	2
outbreak of carbapenem resistant Enterobacteriaceae	8
papers have been produced	7
quality control	2
efficiency of the gastrointestinal endoscopy unit	8
reprocessing room	0
procedural care	2
reprocessing of endoscopes	8
reducing the risk of infection	8
surface linked liposomal peptide	5
vaccine	1
cytotoxic T lymphocytes CTLs	3
against severe acute respiratory syndrome	6
coronavirus	4
HLA A*0201-restricted CTL epitopes	3
identified four HLA A*0201-restricted CTL epitopes	3
SARS CoV	0
identified four HLA A*0201-restricted CTL epitopes	3
recombinant adenovirus	4
identified four HLA A*0201-restricted CTL epitopes	3
peptides were coupled to the surface of liposomes	8
inoculated into mice	9
liposomal peptides	5
peptide specific CTL induction	3
one of them	0
clearance of vaccinia virus	8
surface linked liposomal peptide	5
effective for peptide specific CTL induction	3
Porcine epidemic diarrhea virus	4
economic losses	7
shared	1
panels of porcine sera	4
tested for the presence of antibodies against PEDV	8
assess the properties of various diagnostic assays	8
detection of PEDV infection	8
inter laboratory ring trial	0
laboratories	1
in house ELISAs	5
one commercial assay	1
Bayesian analysis	2
sensitivity and specificity of each assay	5
different assays in the absence of a gold standard	8
ring trial results	2
early European strains of PEDV	4
each of the assays	8
recently circulating strains INDEL and non INDEL	4
detect infection of pigs	8
results	2
show more variation	0
Dendritic cells	3
regulators of adaptive T cell responses	3
capturing exogenous antigens	3
DCs induce antigen specific immune responses in vivo	3
presenting antigen derived peptides	3
DCs induce antigen specific immune responses in vivo	3
major histocompatibility complex molecules to naïve T cells	3
presenting antigen derived peptides	3
active delivery of exogenous antigens to DCs	3
induce effective host immune responses	3
future vaccine development	4
mediate	1
endosomal escape	9
stringent in vivo cell targeting	5
hepatitis B virus surface antigens	4
generated bionanocapsules BNCs	5
BNC LP complexes	0
deliver them to human liver derived tissues	5
fusion with liposomes	5
BNC LP complexes	0
derived from Staphylococcus aureus protein A in tandem	9
to present the immunoglobulin G IgG Fc interacting domain Z domain	8
BNCs were further modified	0
to present the immunoglobulin G IgG Fc interacting domain Z domain	8
mixed with IgGs	9
modified BNCs	0
IgG Fv regions	1
efficient binding to antigens	8
affinity of the displayed IgGs	8
IgG ZZ BNC complexes accumulated in specific cells and tissues	3
intravenous injection of the ZZ BNCs	8
examine which antibodies delivered ZZ BNCs to mouse splenic DCs	3
immunocytochemistry	2
examine which antibodies delivered ZZ BNCs to mouse splenic DCs	3
mixing ZZ BNCs with antibodies against DCs	3
ZZ BNCs displaying anti CD11c monoclonal antibodies	3
accumulate with approximately 62 of splenic DCs	3
ZZ BNCs displaying anti CD11c monoclonal antibodies	3
reside within some of them	7
fusion with liposomes containing antigens	5
elicit the respective antibodies more efficiently	8
α CD11c ZZ BNCs	3
this DC specific nanocarrier	3
future vaccines	2
Sport training	2
adaptation to physical effort	5
changes in blood parameters	2
blood testing	2
support in training	7
exercise in creatine phosphokinase activity	5
basic blood parameters	2
serum amyloid A SAA	0
endurance training	2
blood parameters	2
concentration red blood cell count RBC	2
increased after training sessions and competitions	2
hemoglobin concentration	2
red blood cell count RBC	2
packed cell volume PCV	2
aspartate aminotransferase AST	1
CPK	0
competitions	0
SAA increased	0
increase in white blood cell WBC count was higher	6
increased with training	0
Total protein concentration	9
SAA	0
monitoring of training in young horses	5
optimal program	0
concentration should not increase after a training session	5
cell culture	2
detect viral RNA	4
dot blot hybridization assay	5
chicken bursa and spleen tissue specimens	6
molecular clone	8
infectious bursal disease virus IBDV genome	4
clone	1
lower detection limit of radiolabeled probes	8
cloned nucleotide sequence	9
represents approximately 14 of the virus encoded polymerase	8
probe	1
to detect four serotype 1 IBDV strains and one serotype 2 IBDV strain	4
bursa and spleen tissue specimens	2
rapid procedure	0
isolation of IBDV genomic RNA	8
to detect IBDV strains	4
tissue specimens	2
experimentally infected and commercially reared chickens	4
transcription factors T bet	3
CD8(+ T cell differentiation is controlled	3
Eomesodermin	9
CD8(+ T cell differentiation is controlled	3
cytokines IL-2 IL-10 and IL-12	3
CD8(+ T cell differentiation is controlled	3
T box proteins and IL-10 interact	9
promote a memory T cell fate	3
Eomes	0
drive a central memory phenotype in murine CD8(+ T cells	3
IL-10	3
drive a central memory phenotype in murine CD8(+ T cells	3
Eomes expression	9
increase in the level of the lymph node homing selectin CD62L.	8
increased IL-10 expression	3
exposure of effector CD8(+ T cells to IL-10	3
maintained CD62L expression levels in culture	3
promotes a step wise transition of effector T cells towards a memory phenotype	3
synergizing with IL-10	3
enhance the expression of CD62L.	3
augmentation of lymph node homing markers	3
facilitate the retention of effector T cells	8
Implementing national to community based One Health strategy	7
human animal and environmental challenges	7
Implementing national to community based One Health strategy	7
migrating led consequences	7
One Health strategy	7
advocacy	7
One Health strategy	7
health	1
One Health strategy	7
human animal and environmental development	7
evidence based handling	7
universal health coverage	7
management strategies	2
sustainable development goals	7
evidence based handling	7
China Africa health development initiatives	7
China Africa health development initiatives	7
One Health approach	7
national and regional public health	7
One Health approach	7
disaster risk reduction programs	7
One Health strategy	7
China Africa public health cooperation	7
One Health strategy	7
fostering health systems	7
One Health strategy	7
response against emerging and re emerging threats and epidemics	7
leveraging on current and innovative China Africa health initiatives	7
Building the value of China Africa One Health strategy	8
global collaborative coordination	7
establish epidemic surveillance response system	7
lasting financing mechanisms	7
establish epidemic surveillance response system	7
establish epidemic surveillance response system	7
infectious diseases	6
disasters mitigation	7
establish epidemic surveillance response system	7
lifestyle adaptations strategies	7
establish epidemic surveillance response system	7
mobilizing efforts on climatic changes	7
establish epidemic surveillance response system	7
participatory accountability and transparency on One Health approach	7
set up infectious diseases of poverty projects	7
strengthen local infrastructure and workforce capacity	7
participatory accountability and transparency on One Health approach	7
monitoring and evaluation systems	7
achieving African Union 2063 Agenda	7
SDGs targets	2
extracellular bacteria	2
pathophysiology of ARDS	8
Sepsis	1
ARDS	2
Acute Respiratory Distress Syndrome	6
respiratory failure	6
subsequent mortality	2
triggered TH17-like innate immunity	3
etiology of ARDS	8
neutrophil activation	2
Overactivated neutrophils are the major effector cells	8
microarray analysis	2
describe TH17-like innate immunity related cytokine	3
TGF-{\\beta secreting Treg cells	3
lung fibrosis	6
Up regulation of Treg	3
associated STAT5B and TGF-{\\beta	9
Up regulation of Treg	3
down regulation	9
down regulation	9
MHC genes	1
down regulation	9
TCR genes	1
down regulation	9
co stimulation molecule CD86	3
TH17 transcription factors	3
down regulated	1
STAT3	9
down regulated	1
ROR{\\alpha	0
down regulated	1
ARDS pathogenesis	0
Failure to induce successful adaptive immunity	3
genes	1
fibrosis	1
betacoronavirus	4
high mortality rates	7
fever	1
pneumonia	1
shortness of breath	8
cough	1
patient returning from Saudi Arabia	6
MERS CoV was introduced to Republic of Korea	8
hospital infections	6
The disease spread	8
treatment of MERS CoV infection	4
treatment of MERS CoV infection	4
treatment of MERS CoV infection	4
treating MERS patients	6
Oral and maxillofacial surgery	6
high risk of SARS CoV-2 transmission	8
management of patients	8
COVID-19 pandemic	0
schedule interventions depending on their priority	7
avoid unnecessary exposure to infected patients	6
save resources	7
recovery of a COVID-19 patient	8
urgent procedures might be postponed	7
well defined arrangements	7
treatment spectra	2
avoid redundancy and loss of resources	8
testing of patients for SARS CoV-2	4
detect the infected patients	8
organized	1
Inpatient and outpatient units	2
risk of cross infection among patients is reduced	6
personal protective equipment	7
surgery is performed on COVID-19 patients	0
infrastructure of outpatient units	8
COVID-19	0
inpatient units	2
operating rooms	2
MHV	0
Transmission of mouse hepatitis virus	8
host genotype	2
oronasal inoculation	6
infected during all 3 trimesters of pregnancy	8
Fetuses	1
maternal tissues	2
Virulent polytropic MHV JHM	4
Low virulence polytropic MHV S	4
infected fetuses	2
colostrum	2
antibody was transferred	9
nursing immune dams	3
protected against MHV	4
Immunity to MHV challenge	4
cross protective against both antigenically homotypic and heterotypic strains of MHV	4
Taiwan Quality Indicator Project TQIP	7
measures and monitors the healthcare quality of hospitals in Taiwan	8
data envelopment analysis DEA	5
Malmquist productivity change index	7
TQIP participation	0
hospital productivity growth	7
TQIP regional	0
productivity	1
total quality management TQM	7
relative efficiency	1
total quality management TQM	7
quality	2
TQIP	0
efficiency coincides	0
quality and relative	7
Mouse hepatitis virus strain JHM MHV JHM	4
causes acute encephalitis	1
Mouse hepatitis virus strain JHM MHV JHM	4
acute encephalitis and acute and chronic demyelinating	6
Dendritic cells DCs	3
initiation of innate and adaptive immune responses	3
infection of these cells	3
contribute to a dysregulated immune response	3
A59 strain MHV A59	4
DCs	1
JHM strain	0
infected DCs	9
MHV JHM infection	4
DC function	0
decreased stimulation of CD8 T cells in vitro	3
preferential infection of mature DCs	8
efficient immune response to the virus	8
mass produced	1
rapid bioanalysis assays	5
portable self contained device	5
Miniaturized integrated DNA analysis systems	5
The polymerase chain reaction PCR	8
miniaturization efforts	2
small quantities template DNA	9
efficiently replicate target regions of interest	8
The polymerase chain reaction PCR	8
relatively severe temperature extremes	7
resulting in the need to repeatedly heat minute aqueous sample volumes to temperatures in the vicinity of 95 C with minimal evaporation	8
microfluidic devices	5
performing increasingly sophisticated PCR based bioassays	5
database of Holstein calves	8
compare calves that developed diarrhea in the first 21 d after arrival from commercial farms to the research facility versus calves that remained healthy	8
Monoclonal antibody isolation directly from circulating human B cells	3
to delineate humoral responses to pathological conditions	3
discover antibody therapeutics	5
Epstein Barr virus infection	6
memory B cells are activated	3
functional screenings	2
assessed	1
in vitro transcription and translation IVTT approach	5
analyze variable V genes recovered from each B cell sample	3
in vitro transcription and translation IVTT approach	5
identify the relevant heavy light chain pair(s	8
SARS	0
exhibit superspreading	0
foot and mouth disease	6
environmental variability	2
superspreading	5
the complex network of interactions made by individuals	8
superspreading can also be regarded	0
chemotherapy	1
viral diseases	6
prophylaxis	2
virus infections	6
hepatitis	1
arbovirus infections	6
influenza	1
respiratory tract infections	6
vaccines	1
check the attack of different viruses	8
Viruses	1
respiratory diseases	6
diseases	6
novel virus now known as SARS coronavirus SARS CoV	4
Severe acute respiratory syndrome SARS	6
civets	0
SARS CoV	0
BJ01 with a 29-nucleotide deletion	9
test the susceptibility of civets to experimental infection by different SARS CoV isolates	8
GZ01 without the 29-nucleotide deletion	8
test the susceptibility of civets to experimental infection by different SARS CoV isolates	8
test the susceptibility of civets to experimental infection by different SARS CoV isolates	8
human isolates of SARS CoV	4
test the susceptibility of civets to experimental infection by different SARS CoV isolates	8
pursuit of maximum social or individual utility	8
conflicting objectives in the routing strategies of network users	8
Public policy	7
human mobility through transportation networks	7
individual incentives	7
maximizing individual utility	5
loss of welfare for the social group	8
periods of critical care support	7
Modern post transplant care pathways	7
critical care physicians	7
members of multidisciplinary transplant teams	7
cargoes	2
autophagosomes	9
aberrant protein aggregates	9
organelles	1
bacteria	1
autophagy	1
Cells	1
this pathway	1
many physiological processes	2
numerous pathological situations	2
its ability to rapidly eliminate unwanted structures	8
Atg proteins	9
lipids	1
these structures	2
yeast Saccharomyces cerevisiae	9
the current data about the	8
subvert autophagy	9
replicate in the host cells	8
pathogens	1
cellular carcinoembryonic antigen related CEA protein family N terminal Ig domain	9
CEA protein	1
pUL1	0
colocalized at the cytoplasmic site of virion assembly	8
secondary envelopment	5
TGN-46	0
trans Golgi network	9
viral structural proteins	4
envelope glycoprotein gB	9
tegument phosphoprotein pp28	9
HCMV envelope	4
deletion of UL1 in HCMV TB40 E	9
reduced growth in a cell type specific manner	9
regulating HCMV cell tropism	3
validation of protein structures	8
detect structural flaws	7
potentially guide their efforts in further refinement	0
spectroscopists	2
accurate and efficient validation tools	7
evaluate quality of available experimental structures	8
select a protein model which is the most suitable for a given scientific problem	8
13)C(α nuclei are	0
computational methods aimed at determination and validation of protein structures	8
NMR experiments	2
shieldings	0
13)C(α nuclei	0
encoded structural information	2
Rapid diagnosis of respiratory virus infections	8
patient care	2
rapid tests	2
detection of respiratory viruses	8
bivariate random effects model	2
quantitative meta analysis of the results	8
Quality Assessment of Diagnostic Accuracy Studies QUADAS-2 checklist	8
assessed the quality of studies	8
The virus	8
binds to target cells	9
heparan sulfate proteoglycans	9
interacts with the ACE2 protein	8
endocytosis	1
successful entry into the LLC MK2 cells	8
interaction between the virus and the ACE2 molecule	8
recruitment of clathrin	8
HCoV NL63 virions	4
The retinal pigment epithelial RPE a unique retinal cell	8
a unique retinal cell displays a number of essential functions to	5
retinal pigment epithelial RPE	1
support the health of the retina	8
inflammation and infections	6
Immune reactivity in the retina	8
inflammation	1
infections	6
regulation of this response	3
The RPE cell	8
orchestrates both innate and adaptive immunity	3
TLRs complement components MHC class I and II molecules and serves as an antigen presenting cell	3
RPE cell	1
expresses TLRs complement components MHC class I and II molecules	3
serves as an antigen presenting cell	3
these immune responses	3
the production of a plethora of cytokines mainly proinflammatory	8
immune responses	3
production of a plethora of cytokines mainly proinflammatory	3
suppressive molecules	2
to counteract these inflammatory factors and silence unwanted immune reactivity	3
silence unwanted immune reactivity	3
generates suppressive molecules	3
counteract these inflammatory factors	3
loss of RPE immunosuppressive factors	8
excessive retinal inflammation	2
generation of excessive retinal inflammation	8
RNA interference RNAi	9
reducing expression of endogenously expressed proteins	9
RNA interference RNAi	9
methods including delivering RNA oligonucleotides and expressing RNAi triggers	9
RNAi triggers from viral vectors have	9
RNA oligonucleotides	9
successful RNAi in cell culture and in vivo	9
expressing RNAi triggers from viral vectors	9
novel coronavirus 2019-nCoV SARS CoV-2	4
An outbreak of clusters of viral pneumonia	8
novel coronavirus 2019-nCoV SARS CoV-2	4
viral pneumonia	6
An infectious disease dynamics SEIR Susceptible Exposed Infectious and Removed model	6
estimate the epidemic trend in Wuhan China under two assumptions of Rt	8
infectious disease dynamics SEIR Susceptible Exposed Infectious and Removed model	6
estimate the epidemic trend	8
increasingly implemented public heath intervention	7
Rt was assumed to gradually decrease at different phases from high level of transmission Rt 3.1 2.6 and 1.9 to below 1 Rt 0.9 or 0.5	8
Whether or not the peak of the number of infections would occur in February 2020	8
evaluating the sufficiency of the current measures taken in China	8
the occurrence of the peak the currently strict measures in Wuhan should be continuously implemented and necessary strict public health measures should be applied in other locations in China	7
reduce Rt to an ideal level and control the infection	8
an at home mucus collection methodology	5
To investigate the number of fall exacerbations and the incidence of RTIs in a pediatric asthmatic population	8
the nanostructures of type I collagen films	8
stem colony formation	5
collagen films primarily affect	2
a pandemic of unseen proportions caused by	0
a pandemic of unseen proportions	7
worldwide measures	1
tackle its contagion	7
mask usage	2
prevent infection	6
Heating Ventilating and Air Conditioning Systems HVAC	7
a primary infection disease control measure	7
HVAC systems when not adequately used	7
the transmission of the virus	8
insectivorous bats	6
harbor hantavirus	4
The Th2 cytokines IL-13 and IL-4	3
increases in airway epithelial cell mucus electrolyte and water secretion into the airway surface liquid ASL	8
viral infections or allergens	6
Asthma exacerbations	6
ASL dehydration	0
airway inflammation and obstruction	5
ion transporters	9
asthma exacerbations	6
IL-13	3
expression of the epithelial cell anion transporter pendrin	8
pendrin deficiency	9
an increase in ASL thickness	5
improved ASL hydration	0
reductions in allergen induced hyperreactivity and inflammation in pendrin deficient mice	3
pendrin	0
ASL thickness	0
viral infections	6
allergens	1
The necessary resources	8
treat patients	2
the SARS CoV-2 virus	8
The coronavirus disease 2019 COVID-19 pandemic	8
antiviral approaches	2
viruses	1
a CRISPR Cas13-based strategy PAC MAN prophylactic antiviral CRISPR in human cells	8
viral inhibition that can effectively degrade RNA from SARS CoV-2 sequences and live influenza A virus IAV in human lung epithelial cells	4
CRISPR RNAs crRNAs	9
targeting conserved viral regions	4
Site directed mutagenesis in vitro	9
introduce stop codons in the genomic DNA of the alpha and beta chains of the murine class II major histocompatibility complex antigen I Ak	8
Removing all amino acids of the cytoplasmic domains of both the alpha and beta chains	8
a 10-fold increase in the Dlat the highest value for any of the truncated I Ak molecules tested	8
the carboxy- terminal six amino acids of the cytoplasmic domain of the alpha chain and the six plasma membrane proximal amino acids of the beta chain	8
constraining the translational diffusion of I Ak molecules in the plasma membrane	8
components of the innate immune system such as macrophages	8
modulating HIV infection	3
NK cells	3
β defensins	9
complement	1
other anti microbial factors	6
in the plasma during AHI to inhibit	8
ability of selected factors found to be elevated in the plasma during AHI to inhibit HIV-1 replication was analyzed	8
Insights gained into the mechanism of action of acute phase reactants and other innate molecules against HIV and how they are induced	8
the mechanism of action of acute phase reactants	8
mRNA differential display methodology	5
analyze the shift of transcription profile induced by the fish rhabdovirus viral hemorrhagic septicemia virus VHSV in rainbow trout leukocytes	8
VHSV	0
gene	1
VHSV induced gene vig-1	4
encodes a 348-amino acid protein	9
vig-1	0
experimental disease in lymphoid organs of the infected fish	8
Intramuscular injection of a plasmid vector expressing the viral glycoprotein	8
vig-1 expression showing that the external virus protein is sufficient for the induction	8
The surface glycoproteins of coronaviruses	8
receptor binding and cell entry	9
Different coronaviruses	4
interact with their specific receptors to enter host cells	3
human phosphatidylethanolamine binding protein 4 hPEBP4 as an antiapoptotic protein with increased expression levels in breast ovarian and prostate cancer cells but low expression levels in normal tissues	9
hPEBP4 as an antiapoptotic protein	9
hPEBP4-derived immunogenic peptides	3
inducing antigen specific cytotoxic T lymphocytes CTLs targeting breast cancer	3
A panel of hPEBP4-derived peptides predicted by peptide MHC binding algorithms	3
characterize their HLA A2.1 affinity and immunogenicity	3
a novel immunogenic peptide P40–48 TLFCQGLEV	9
eliciting specific CTL responses in HLA A2.1 K(b transgenic mice as well as in peripheral blood lymphocytes from breast cancer patients	8
immune defense	3
chronic immune reactivity	3
retinal diseases	6
age related macular degeneration AMD	6
immune response	3
human bocavirus HBoV	4
acute respiratory infections ARI	6
tested by qPCR	1
Nasopharyngeal samples	2
NSP1 and NP-1 genes	4
amplified by PCR	9
VP1/2 gene	9
sequenced	1
this particular genotype	2
ARI	0
HBoV-1	9
aetiology of respiratory diseases	8
this particular	2
silence mRNAs encoding pathogenic proteins	9
RNAi based gene silencing approaches	5
treating fatal disorders	7
RNAi based gene silencing approaches	5
providing alternatives to traditional small molecule therapies	5
clinical trials	2
approaches	2
targeted gene silencing for therapy	5
developing RNAi triggers	7
use in humans	2
transfusions	2
infectious complications	6
transfusion transmission	6
death	1
new screens or processes	7
transfusion transmission of infection will continue to have reducing risks	6
blood supply will continue to be safer	7
incinerators	0
combusting large amount of municipal solid waste	5
air pollution control devices APCDs	7
air pollution control	7
air pollution control devices APCDs	7
operation of incinerators	5
incineration of municipal solid waste	5
producing energy	7
generation of electricity	8
waste	1
energy	1
general public and the industry	8
experience in incinerator construction and operation	5
waste treatment technology	5
energy recovery	5
control of contagious viral diseases	8
replication of the murine coronaviruses MHV3 and JHM	8
somatic cell hybrids formed between murine fibroblast L2 cells	5
lytic infections	6
replication of the murine coronaviruses MHV3 and JHM has been studied	8
rat RN2 Schwannoma cells	9
hybrid cells	9
replication of both these viral agents in a lytic manner	4
biomedical efforts	2
block viral propagation	4
capsids	1
nanomaterials applications	5
assembly and budding	9
virion formation	9
molecular dynamics simulations	5
coarse grained model that describes virus assembly on a fluctuating lipid membrane	5
introduces thermodynamic and kinetic effects	5
inhibit complete assembly	0
dimensional reduction	2
association of adsorbed subunits	9
the membrane	8
lipid rafts	9
enhance assembly	0
membrane microdomains	9
multiple timescales related to membrane deformation	5
system dynamics	2
protein diffusion association and adsorption onto the membrane	8
protein diffusion association and adsorption onto the membrane	8
new tools	2
rapid identification of new potential public health pathogens	8
increased awareness	7
computational vaccine design tools	5
engineer vaccines	7
novel emerging pathogen	6
WMD biowarfare agent countermeasures	7
rapid production technologies	5
These new tools	2
reduce the time needed to design string of epitope vaccines	8
reduce the time needed to design string of epitope vaccines	8
previously unknown pathogens	6
SIR and SIS models	0
five dimensional system of ordinary differential equations	5
dynamics of epidemics in a community which consists of residents and short stay visitors	8
one variant of basic reproduction number	5
formulate appropriate public health policies	7
short stay visitor subpopulation	0
fate of diseases in the community	8
human monoclonal antibodies hmAbs	3
Severe Acute Respiratory Syndrome Coronavirus SARS CoV	4
therapeutic interventions	2
Severe Acute Respiratory Syndrome Coronavirus SARS CoV	4
rapid response	0
contain the outbreak	8
human monoclonal antibodies hmAbs	3
immortalization of convalescent B cells	8
generate SARS CoV specific neutralizing hmAbs	4
cloning of small chain variable regions from naïve and convalescent patients	8
generate SARS CoV specific neutralizing hmAbs	4
immunization of transgenic mice	8
generate SARS CoV specific neutralizing hmAbs	4
hmAbs	0
reacted with the receptor binding domain RBD of the spike S protein	8
likely prevented receptor binding	9
bind to epitopes	2
neutralize the virus	8
inhibiting receptor binding	9
escape mutants selected	9
identification of potential combinations of hmAbs	8
Therapeutic utility of hmAbs	8
neutralize viral variants	4
cocktail of hmAbs	8
bind to unique epitopes	3
against SARS CoV infection	4
SARS caused by the SARS associated	8
severe acute respiratory syndrome SARS	6
phage display technology in a chicken system	5
high affinity monoclonal antibody fragments	5
high affinity monoclonal antibody fragments	5
SARS CoV spike protein	4
recombinant spike proteins	9
immunization of chickens	8
Coomassie blue staining	5
scFv antibodies of randomly chosen clones	3
western blot analysis	9
scFv antibodies	9
recognized the same region of the spike protein spanning amino acid residues 750–1000	8
SARS CoV infected Vero cells	4
chicken scFv phage display system	9
model for mass production of high affinity antibodies	5
model for mass production of high affinity antibodies	5
SARS CoV spike protein	4
Human rhinovirus 3C protease HRV 3Cpro	4
development of therapeutic agents	8
common cold	1
the common	0
viral replication	4
inhibitory activity	2
HRV 3Cpro	0
novel heteroaromatic esters was synthesized and evaluated	5
explore non peptidic inhibitors of HRV 3Cpro	5
structure activity relationships	5
molecular docking	5
binding mode of a novel analog 19 with the 4-hydroxyquinolinone moiety	8
binding mode of a novel analog 19 with the 4-hydroxyquinolinone moiety	8
S1 pocket	0
adverse events affecting	2
adverse events affecting hospitalized patients	6
HCAIs	1
surgical complications	2
treated for other health issues	7
simple infection control procedures	6
prevent HCAIs	7
cleaning hands with an alcohol based hand rub	7
simple infection control procedures	6
minimize health care costs	7
simple infection control procedures	6
save lives	7
simple infection control procedures	6
reduce morbidity	7
cleaning hands with an alcohol based hand rub	7
cleaning hands with an alcohol based hand rub	7
cleaning hands with an alcohol based hand rub	7
Routine educational interventions for health care professionals	7
change their hand washing practices	7
change their hand washing practices	7
prevent the spread of infection	8
receiving health care	7
Health care associated infections HCAIs	6
trypsin	1
feline infectious peritonitis virus	4
homogeneous plaques	1
feline infectious peritonitis	6
heterogenous plaque size distribution	5
canine coronavirus	4
ophthalmic examination	2
bilateral deep stromal corneal ulcers	6
exudative panuveitis	6
secondary glaucoma	6
complete blood cell count	2
neutrophilia	1
monocytosis	1
Urinalysis	2
glucosuria without ketonuria	6
long‐acting insulin	5
Diabetes mellitus	6
allopurinol	6
leishmaniasis	6
topical treatment	2
melting ulcers	0
corneal perforation	2
eyes were enucleated	2
intracellular organisms compatible with amastigotes of the genus Leishmania	8
uveal tract	6
cornea	1
sclera	0
retina	1
hypoglycemic episodes	6
